time,url,method,query_string,referer,action,comments,explanation,from_str,to_str
2018-09-08 13:47:08,/log_data,GET,"data=close_summarize_one_modal",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:48:57,/log_data,GET,"data=open_summarize_one_modal&did=70376&type=summarize_one",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:49:23,/summarize_comment,POST,"",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:49:24,,,"",,edit_sum,70376,edit summary,1,1
2018-09-08 13:49:24,/log_data,GET,"data=close_summarize_one_modal",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:49:26,/log_data,GET,"data=open_summarize_one_modal&did=70378&type=summarize_one",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:49:32,,,"",,edit_sum,70378,edit summary,1,1
2018-09-08 13:49:32,/summarize_comment,POST,"",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:49:32,/log_data,GET,"data=close_summarize_one_modal",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:50:32,/author_info,GET,"username=Serialjoepsycho&article=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FTalk%3AList_of_military_occupations%2523RFC%3A_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency%3F&num=0&owner=MrX",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:50:32,/author_info,GET,"username=Serialjoepsycho&article=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FTalk%3AList_of_military_occupations%2523RFC%3A_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency%3F&num=0&owner=MrX",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:50:32,/author_info,GET,"username=Serialjoepsycho&article=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FTalk%3AList_of_military_occupations%2523RFC%3A_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency%3F&num=0&owner=MrX",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:50:33,/author_info,GET,"username=Serialjoepsycho&article=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FTalk%3AList_of_military_occupations%2523RFC%3A_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency%3F&num=0&owner=MrX",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:50:33,/author_info,GET,"username=Serialjoepsycho&article=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FTalk%3AList_of_military_occupations%2523RFC%3A_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency%3F&num=0&owner=MrX",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:50:33,/author_info,GET,"username=Serialjoepsycho&article=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FTalk%3AList_of_military_occupations%2523RFC%3A_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency%3F&num=0&owner=MrX",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:50:33,/author_info,GET,"username=Serialjoepsycho&article=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FTalk%3AList_of_military_occupations%2523RFC%3A_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency%3F&num=0&owner=MrX",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:51:13,/author_info,GET,"username=Icewhiz&article=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FTalk%3AList_of_military_occupations%2523RFC%3A_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency%3F&num=0&owner=MrX",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
